gene	KO	Rescue	WT
gene_32611	1291	323	603
gene_32612	191	472	865
gene_32613	39	73	138
gene_32614	261	761	1216
gene_32617	33	97	176
gene_32619	130	295	597
gene_32620	610	847	2245
gene_32622	441	571	1320
gene_32623	0	2	3
gene_32624	0	0	3
gene_32627	133	301	581
gene_32628	18	46	62
gene_32629	38	64	151
gene_32630	328	547	1219
gene_32631	337	580	1274
gene_32632	92	99	324
gene_32633	1077	1762	4323
gene_32634	941	1658	3407
gene_32635	11	27	49
gene_32636	729	1027	2368
gene_32637	188	223	576
gene_32638	54	112	214
gene_32639	130	330	730
gene_32640	22	79	132
gene_32641	0	1	0
gene_32642	0	6	9
gene_32643	0	2	6
gene_32644	84	136	344
gene_32645	88	143	360
gene_32646	535	939	2123
gene_32647	1125	1893	4376
gene_32648	138	245	510
gene_32649	1479	201	409
gene_32650	385	610	1336
gene_32651	1278	2307	5369
gene_32652	24	150	171
gene_32653	835	1324	3359
gene_32654	1	0	0
gene_32656	216	362	903
gene_32657	313	515	1266
gene_32658	95	116	368
gene_32659	1310	2467	5214
gene_32660	1634	2883	6765
gene_32661	131	191	436
gene_32662	4120	6816	15327
gene_32663	215	386	703
gene_32664	4850	9984	26773
gene_32665	424	721	1980
gene_32666	0	0	0
gene_32667	1400	2365	5594
gene_32668	1032	1876	4583
gene_32669	118	202	608
gene_32670	1969	2892	6836
gene_32671	0	0	0
gene_32672	1574	2700	6150
gene_32673	176	291	653
gene_32674	359	664	1539
gene_32675	561	1073	2377
gene_32676	2	8	2
gene_32677	1	2	6
gene_32678	0	0	3
gene_32679	18	33	63
gene_32681	7	14	34
gene_32682	621	1154	2513
gene_32683	137	268	520
gene_32684	377	668	1838
gene_32685	165	334	818
gene_32686	83	216	508
gene_32687	11	15	34
gene_32688	39	75	151
gene_32689	17	45	75
gene_32690	160	419	838
gene_32691	31	40	133
gene_32692	4472	7666	18192
gene_32693	0	0	3
gene_32694	15	22	63
gene_32695	66	91	223
gene_32696	314	562	1204
gene_32698	245	402	949
gene_32699	109	251	413
gene_32700	24	118	254
gene_32701	7	12	18
gene_32702	60	167	245
gene_32703	0	0	0
gene_32704	22	69	91
gene_32706	0	0	0
gene_32707	216	491	724
gene_32709	1	0	1
gene_32711	64	106	206
gene_32712	68	212	335
gene_32713	22	77	133
gene_32714	0	0	0
gene_32715	12	45	84
gene_32716	23	36	117
gene_32717	11	42	95
gene_32718	3	19	40
gene_32719	0	4	8
gene_32720	0	3	7
gene_32721	7	46	108
gene_32722	3	26	62
gene_32723	34	90	186
gene_32724	31	82	180
gene_32726	59	158	291
gene_32727	45	88	132
gene_32728	3	30	45
gene_32729	1	7	20
gene_32730	8	15	6
gene_32731	44	116	211
gene_32732	11	20	42
gene_32733	32	92	145
gene_32734	1	3	6
gene_32736	6	45	64
gene_32737	9	50	76
gene_32738	85	219	427
gene_32739	120	311	552
gene_32740	0	0	0
gene_32742	67	150	290
gene_32743	191	487	972
gene_32744	765	989	2794
gene_32745	745	1391	3443
gene_32746	246	498	1071
gene_32747	215	421	834
gene_32748	903	1894	3762
gene_32749	483	1026	1982
gene_32750	20	28	78
gene_32751	394	837	1743
gene_32752	0	0	0
gene_32753	1	0	0
gene_32754	276	335	917
gene_32755	26	20	66
gene_32756	789	1332	2984
gene_32758	1122	1824	4479
gene_32759	493	855	1842
gene_32760	25	27	57
gene_32761	598	1144	2808
gene_32763	934	1866	5354
gene_32764	1577	3579	7601
gene_32765	249	577	1101
gene_32766	388	662	1282
gene_32767	397	673	1311
gene_32768	0	3	15
gene_32769	0	0	0
gene_32770	11	17	60
gene_32771	388	941	1643
gene_32772	63	121	231
gene_32773	0	1	0
gene_32774	162	281	591
gene_32775	3	12	35
gene_32776	750	1183	3074
gene_32777	5	4	14
gene_32778	6491	13602	30572
gene_32779	260	620	1251
gene_32780	1462	2567	6182
gene_32781	806	1485	3185
gene_32782	2	0	1
gene_32783	954	1715	3816
gene_32786	0	0	1
gene_32787	7	15	81
gene_32788	262	452	929
gene_32789	1127	1611	4280
gene_32790	0	0	1
gene_32791	88	145	399
gene_32792	283	490	1140
gene_32793	946	1621	3491
gene_32794	24	49	155
gene_32795	490	847	1804
gene_32796	23	33	98
gene_32797	110	189	338
gene_32798	79	176	375
gene_32799	29	58	126
gene_32800	519	918	2052
gene_32801	142	234	497
gene_32803	120	200	418
gene_32805	22	21	97
gene_32806	453	748	1651
gene_32807	47	5	20
gene_32808	224	464	913
gene_32809	279	460	1116
gene_32810	0	0	1
gene_32813	2	8	22
gene_32814	4	1	5
gene_32815	29	47	125
gene_32816	0	0	0
gene_32817	384	797	1612
gene_32818	615	943	2685
gene_32819	0	0	2
gene_32820	832	1245	2640
gene_32821	6	10	21
gene_32822	82	108	228
gene_32827	1	0	0
gene_32828	1184	2013	4232
gene_32829	74	130	252
gene_32830	846	1335	2793
gene_32831	1518	2643	7085
gene_32832	0	0	0
gene_32833	1	8	6
gene_32834	1456	2118	5577
gene_32835	1285	2298	5503
gene_32836	1538	2791	5634
gene_32837	525	756	1715
gene_32840	44	91	156
gene_32841	0	0	0
gene_32842	0	2	1
gene_32851	0	6	9
gene_32852	716	1243	3018
gene_32853	0	0	2
gene_32854	5	23	26
gene_32856	0	0	0
gene_32857	786	1478	3405
gene_32858	0	0	1
gene_32859	421	793	1648
gene_32860	73	86	234
gene_32861	336	507	1292
gene_32862	0	0	7
gene_32863	39	38	124
gene_32864	678	1144	2744
gene_32869	0	0	0
gene_32870	33	51	113
gene_32871	40	67	117
gene_32876	0	3	0
gene_32877	206	23	40
gene_32878	24	96	199
gene_32879	699	707	1448
gene_32880	18	10	30
gene_32882	4	33	26
gene_32888	5127	9403	20288
gene_32889	405	608	1603
gene_32891	751	1367	2922
gene_32892	410	756	1617
gene_32893	68	191	349
gene_32895	70630	1325	2698
gene_32896	0	3	1
gene_32897	0	1	5
gene_32898	608	1134	2394
gene_32900	61	149	364
gene_32902	235	475	957
gene_32903	6	10	4
gene_32905	0	1	0
gene_32906	140	272	586
gene_32907	266	544	937
gene_32908	916	1631	3378
gene_32909	3	4	10
gene_32910	732	1713	3608
gene_32911	56	167	330
gene_32912	0	0	0
gene_32913	17	37	60
gene_32914	111	214	530
gene_32915	185	276	658
gene_32916	1	0	1
gene_32917	2	1	1
gene_32919	14	14	30
gene_32920	8	20	51
gene_32921	411	733	1726
gene_32922	17	29	77
gene_32923	11	29	47
gene_32924	182	478	949
gene_32925	28	109	192
gene_32927	280	528	1184
gene_32930	0	0	0
gene_32932	84	163	308
gene_32934	934	1523	3388
gene_32936	19	34	79
gene_32938	17	17	47
gene_32939	181	279	705
gene_32940	103	263	523
gene_32941	1479	2394	6339
gene_32942	173	286	862
gene_32943	0	0	0
gene_32944	552	760	1513
gene_32945	281	512	1081
gene_32946	3	6	18
gene_32947	29	50	112
gene_32948	205	302	860
gene_32949	1	4	1
gene_32950	443	719	1805
gene_32951	56	119	270
gene_32952	136	230	546
gene_32955	0	2	0
gene_32956	800	2128	3942
gene_32957	92	246	349
gene_32958	324	564	1297
gene_32959	7	28	29
gene_32960	1	1	5
gene_32961	0	0	1
gene_32965	58	98	293
gene_32966	204	273	870
gene_32967	851	1433	3596
gene_32968	0	0	1
gene_32969	0	1	0
gene_32970	1222	2313	5227
gene_32971	0	0	1
gene_32974	436	799	1756
gene_32975	32	56	95
gene_32976	43	90	154
gene_32977	886	1998	4599
gene_32978	2	0	10
gene_32979	15	34	78
gene_32980	10317	17179	39381
gene_32983	563	725	2078
gene_32984	0	0	3
gene_32985	273	488	1090
gene_32986	30	39	85
gene_32987	0	0	0
gene_32988	228	495	1095
gene_32989	17	30	56
gene_32990	1624	3356	7174
gene_32991	1114	2347	5352
gene_32992	512	1014	1829
gene_32993	154	290	550
gene_32994	22	72	138
gene_32995	2	9	17
gene_32996	189	362	829
gene_32997	11	48	100
gene_32998	196	340	789
gene_32999	28	58	133
gene_33000	1866	2970	6923
gene_33001	1785	3028	6598
gene_33002	665	1221	3270
gene_33003	988	3467	5334
gene_33004	16	0	0
gene_33005	490	811	1884
gene_33006	44	66	155
gene_33007	15	26	77
gene_33008	193	420	1012
gene_33011	0	0	0
gene_33012	2483	3897	10355
gene_33013	0	0	0
gene_33014	772	1343	3044
gene_33015	37	66	120
gene_33016	194	354	767
gene_33017	3307	6027	13276
gene_33018	31	63	166
gene_33019	243	364	835
gene_33021	81	184	478
gene_33022	239	402	943
gene_33024	1650	2616	6590
gene_33025	1	3	11
gene_33026	1	3	14
gene_33028	1126	1854	3912
gene_33029	349	573	1255
gene_33030	393	754	1523
gene_33031	78	200	425
gene_33032	0	0	4
gene_33033	421	898	1646
gene_33034	489	710	1694
gene_33035	18	55	124
gene_33036	252	466	1063
gene_33037	56	108	252
gene_33038	85	152	348
gene_33039	122	227	464
gene_33040	17851	587	1440
gene_33041	211	350	809
gene_33042	0	2	3
gene_33043	1	1	1
gene_33044	0	0	0
gene_33046	1	1	3
gene_33047	254	389	970
gene_33048	494	958	2064
gene_33049	1405	2447	5791
gene_33051	11	25	53
gene_33052	718	929	2548
gene_33053	690	886	2443
gene_33054	10	17	17
gene_33055	0	0	1
gene_33056	9	21	26
gene_33058	129	229	491
gene_33059	320	545	1310
gene_33060	658	1071	2111
gene_33061	44	110	176
gene_33062	28	92	96
gene_33064	0	8	28
gene_33065	0	1	7
gene_33066	2	8	22
gene_33067	80	206	458
gene_33068	13	12	25
gene_33069	4	13	47
gene_33070	0	1	0
gene_33071	1	0	1
gene_33073	0	0	5
gene_33074	0	0	3
gene_33075	0	0	1
gene_33079	5	0	3
gene_33080	0	0	0
gene_33082	0	0	0
gene_33083	1	0	1
gene_33084	7	0	1
gene_33085	0	2	9
gene_33088	55	187	271
gene_33089	71	187	383
gene_33090	60	194	289
gene_33091	381	94	172
gene_33092	17	29	68
gene_33093	18	27	51
gene_33094	2	0	2
gene_33097	24	57	79
gene_33101	44	102	148
gene_33131	0	2	1
gene_33132	0	0	0
gene_33133	0	0	8
gene_33134	0	1	0
gene_33135	44	237	305
gene_33137	0	0	0
gene_33138	48	47	118
gene_33139	0	0	0
gene_33140	10	19	34
gene_33143	0	0	0
gene_33145	32	71	146
gene_33146	57	190	304
gene_33147	0	1	1
gene_33148	0	0	0
gene_33151	1053	190	377
gene_33152	1	1	9
gene_33153	49	100	211
gene_33154	3	8	15
gene_33166	0	0	1
gene_33174	1453	2585	4806
gene_33175	0	1	17
gene_33184	524	806	1569
gene_33185	2	14	36
gene_33186	248	451	964
gene_33187	0	0	0
gene_33188	180	282	541
gene_33189	0	2	0
gene_33191	1735	2807	5918
gene_33192	0	1	0
gene_33193	1	1	7
gene_33194	0	0	0
gene_33217	457	862	1744
gene_33218	4	16	38
gene_33219	342	643	1020
gene_33220	892	1024	2543
gene_33221	1059	1934	4146
gene_33223	7	13	11
gene_33224	10	21	18
gene_33225	549	899	1859
gene_33226	0	2	0
gene_33227	4	6	4
gene_33228	77	229	349
gene_33229	0	3	4
gene_33230	617	795	1992
gene_33231	98	151	302
gene_33232	2791	5430	12824
gene_33233	309	639	1023
gene_33234	12	18	58
gene_33235	0	0	1
gene_33240	0	0	0
gene_33241	101	281	473
gene_33242	425	959	1981
gene_33243	69	134	324
gene_33244	39	72	181
gene_33245	1	0	2
gene_33246	1492	3342	6565
gene_33247	497	737	1693
gene_33250	317	764	1854
gene_33251	0	0	1
gene_33253	3414	6086	12661
gene_33254	763	1451	2768
gene_33255	3	4	20
gene_33256	10796	17673	44917
gene_33257	1442	2099	5888
gene_33258	327	515	1069
gene_33259	0	2	6
gene_33260	3833	7372	14022
gene_33261	34	43	121
gene_33262	0	0	3
gene_33263	0	2	7
gene_33266	8	8	30
gene_33267	55	95	208
gene_33268	4	6	9
gene_33269	79	222	388
gene_33270	49	110	207
gene_33271	3	8	5
gene_33272	1	5	5
gene_33273	3	9	18
gene_33274	15	50	97
gene_33277	0	0	0
gene_33278	54	98	141
gene_33279	13	29	57
gene_33280	184	303	668
gene_33281	349	605	1162
gene_33283	1	0	0
gene_33284	74	61	162
gene_33285	69	169	396
gene_33286	8	19	22
gene_33287	0	1	0
gene_33288	3483	9097	18799
gene_33289	3592	9517	19526
gene_33290	11	107	193
gene_33291	0	4	6
gene_33292	3	32	50
gene_33293	195	25	38
gene_33294	0	0	0
gene_33295	1236	3838	7191
gene_33297	6934	9748	25040
gene_33298	4	2	8
gene_33299	2	13	17
gene_33300	2153	2933	7344
gene_33301	0	2	0
gene_33303	3	16	20
gene_33308	2	0	0
gene_33309	1	3	8
gene_33310	4	8	26
gene_33311	110	107	324
gene_33312	0	0	0
gene_33313	195	369	532
gene_33314	0	0	3
gene_33315	25	33	73
gene_33316	151	222	397
gene_33317	933	1414	2925
gene_33323	400	565	1428
gene_33324	1933	2457	6384
gene_33325	21	49	89
gene_33326	2356	3419	7745
gene_33327	3	3	1
gene_33328	1	0	0
gene_33329	0	0	0
gene_33330	1438	2146	5238
gene_33331	55	70	141
gene_33332	85	124	292
gene_33333	78	111	246
gene_33334	11036	1308	3081
gene_33335	647	1015	2235
gene_33336	73	151	313
gene_33337	124	253	518
gene_33338	0	1	1
gene_33339	1	1	2
gene_33340	351	510	1055
gene_33341	33	42	80
gene_33342	19450	190	423
gene_33343	0	3	0
gene_33344	0	0	3
gene_33345	0	0	0
gene_33346	29	147	461
gene_33347	61	117	229
gene_33348	0	0	1
gene_33349	2	0	1
gene_33351	93	233	510
gene_33354	367	540	1160
gene_33355	81	121	383
gene_33356	187	274	627
gene_33357	209	301	666
gene_33358	8	9	21
gene_33359	23	46	110
gene_33360	84	144	360
gene_33361	468	579	1261
gene_33363	1	1	1
gene_33364	690	992	2285
gene_33365	1356	1881	4277
gene_33366	413	542	1283
gene_33367	5642	8793	18995
gene_33369	1	1	0
gene_33370	68	120	223
gene_33371	1984	4103	7658
gene_33372	0	0	9
gene_33373	0	0	0
gene_33374	0	0	1
gene_33378	9	9	22
gene_33379	2	0	5
gene_33380	10	0	15
gene_33382	4	0	9
gene_33383	0	0	0
gene_33385	0	0	0
gene_33387	1	2	3
gene_33388	22	31	94
gene_33389	4	0	7
gene_33393	1	0	0
gene_33394	0	0	0
gene_33397	0	0	8
gene_33400	52	46	109
gene_33401	45	63	135
gene_33403	115	154	342
gene_33404	97	185	379
gene_33405	5	4	14
gene_33408	247	411	974
gene_33409	1	4	9
gene_33410	0	0	0
gene_33411	20	36	77
gene_33413	0	0	0
gene_33417	0	0	7
gene_33419	0	0	1
gene_33421	0	0	7
gene_33424	0	1	0
gene_33425	1	2	18
gene_33426	1	1	13
gene_33427	1	1	12
gene_33428	12	13	46
gene_33429	0	0	1
gene_33430	3654	5444	12041
gene_33431	0	0	0
gene_33432	0	0	0
gene_33433	2	2	9
gene_33434	0	2	8
gene_33435	5	15	9
gene_33436	17636	25924	72391
gene_33438	9489	13614	34576
gene_33439	6318	9632	26511
gene_33440	7475	10397	24910
gene_33441	6685	9298	22180
gene_33442	555	1113	2609
gene_33443	27	62	101
gene_33444	1	3	8
gene_33445	3244	5253	11098
gene_33446	16	5	41
gene_33447	2	0	5
gene_33448	23	33	103
gene_33449	325	494	1244
gene_33450	0	0	3
gene_33451	3	1	9
gene_33454	0	5	3
gene_33456	7478	4807	10645
gene_33457	24017	36071	89590
gene_33458	0	0	0
gene_33459	1744	3791	6676
gene_33460	32	53	111
gene_33461	8	30	58
gene_33462	25	45	137
gene_33463	29589	49415	111960
gene_33464	3388	5154	12547
gene_33465	3404	5541	12233
gene_33466	2	1	4
gene_33467	4751	7294	16111
gene_33468	3	0	8
gene_33469	180	335	788
gene_33470	11	28	55
gene_33471	1038	1909	4271
gene_33472	818	1123	2973
gene_33473	1	0	9
gene_33474	604	775	1855
gene_33475	489	665	1487
gene_33476	1399	1901	3649
gene_33477	0	0	0
gene_33478	0	1	1
gene_33479	0	1	5
gene_33480	0	1	3
gene_33481	0	0	1
gene_33483	2499	3597	9731
gene_33486	0	0	0
gene_33487	0	2	0
gene_33488	0	0	1
gene_33489	0	0	0
gene_33490	25	25	66
gene_33491	0	0	8
gene_33492	0	1	0
gene_33493	2460	3558	8727
gene_33494	2001	1656	3658
gene_33495	1478	2664	5487
gene_33496	1043	2095	4472
gene_33497	651	982	2138
gene_33498	20934	27237	61352
gene_33499	3261	4261	10675
gene_33500	1551	1804	4449
gene_33501	13	18	31
gene_33503	28	24	63
gene_33504	4	8	23
gene_33505	282	368	860
gene_33510	0	0	1
gene_33512	0	1	0
gene_33513	1183	1364	3444
gene_33514	5912	6633	16056
gene_33515	14112	3950	12964
gene_33516	2012	3191	7097
gene_33517	2	12	12
gene_33518	117	289	489
gene_33519	45	92	176
gene_33520	242	693	1258
gene_33521	2	1	6
gene_33522	140	283	713
gene_33523	0	0	4
gene_33524	28	60	132
gene_33525	2492	3330	8694
gene_33526	5	3	20
gene_33527	329	406	954
gene_33528	1994	3276	6833
gene_33529	16	15	37
gene_33530	1	2	5
gene_33531	48	105	256
gene_33532	234	367	781
gene_33534	235	489	1011
gene_33535	2	0	4
gene_33536	573	1207	2355
gene_33537	13	17	45
gene_33538	1667	2455	5482
gene_33539	771	1531	2640
gene_33540	220	278	681
gene_33541	532	756	1900
gene_33542	593	964	2370
gene_33543	467	799	1807
gene_33544	1195	2111	4341
gene_33545	476	220	553
gene_33546	574	673	1673
gene_33547	349	519	1303
gene_33548	1997	2798	7374
gene_33549	71	91	287
gene_33550	1852	2484	6591
gene_33551	117	163	455
gene_33552	0	5	16
gene_33553	6	8	20
gene_33554	1	3	0
gene_33555	1	0	1
gene_33557	76	229	440
gene_33559	2	5	9
gene_33560	2697	6529	11629
gene_33561	309	897	1904
gene_33562	6	22	35
gene_33563	10018	13319	31968
gene_33564	1321	1737	3723
gene_33565	192	180	621
gene_33566	1057	1525	3457
gene_33567	1608	2156	6019
gene_33568	551	72	206
gene_33569	89	134	322
gene_33570	3	3	10
gene_33571	959	1302	3163
gene_33572	1660	2244	6201
gene_33574	121	11	10
gene_33575	69	77	111
gene_33576	979	1351	3294
gene_33577	1	4	15
gene_33578	1	0	3
gene_33579	0	0	0
gene_33580	0	0	0
gene_33582	0	0	0
gene_33585	79	457	1829
gene_33586	1551	5739	11703
gene_33587	153	558	1427
gene_33588	1234	5551	13657
gene_33589	0	0	2
gene_33590	0	1	2
gene_33592	0	0	5
gene_33594	23674	33401	80694
gene_33595	432	4	6
gene_33596	3705	4930	11361
gene_33597	19	60	125
gene_33598	1539	2227	5521
gene_33599	999	1467	3562
gene_33600	10	40	98
gene_33601	42	1	9
gene_33602	610	949	2025
gene_33603	13	26	51
gene_33606	905	1314	3529
gene_33607	169	267	629
gene_33608	361	662	1517
gene_33609	1827	2790	6267
gene_33610	624	883	2150
gene_33611	10	10	29
gene_33612	2310	3090	7826
gene_33613	13692	2941	7395
gene_33614	1151	1646	3646
gene_33615	307	358	964
gene_33616	21	43	73
gene_33617	1210	1549	3697
gene_33618	55	134	196
gene_33619	78	141	312
gene_33620	245	743	1851
gene_33621	2	3	6
gene_33622	22	9	41
gene_33623	959	2017	4035
gene_33636	0	0	3
gene_33637	0	0	1
gene_33638	0	0	7
gene_33639	0	3	53
gene_33640	0	0	2
gene_33642	7	15	34
gene_33643	295	385	966
gene_33644	1451	1904	4631
gene_33645	352	464	1222
gene_33646	634	902	2127
gene_33647	22	34	75
gene_33648	86	122	316
gene_33649	68	102	206
gene_33650	0	1	7
gene_33651	505	811	1763
gene_33652	271	335	869
gene_33653	295	344	917
gene_33654	769	879	2508
gene_33655	169	183	607
gene_33656	1304	2801	6323
gene_33658	915	1368	3288
gene_33659	326	256	567
gene_33660	5	7	14
gene_33662	137	323	500
gene_33663	0	0	6
gene_33664	0	0	0
gene_33666	0	0	1
gene_33667	0	0	0
gene_33668	211	290	675
gene_33669	19	26	61
gene_33670	60	127	234
gene_33671	4	3	3
gene_33672	0	0	0
gene_33673	836	76	124
gene_33674	43	141	224
gene_33675	0	0	0
gene_33676	34	76	168
gene_33677	95	245	350
gene_33678	75	211	348
gene_33679	51	110	162
gene_33680	208	427	595
gene_33681	105	258	342
gene_33682	49	97	205
gene_33683	86	195	340
gene_33684	0	3	0
gene_33685	263	496	1013
gene_33686	245	421	824
gene_33687	114	255	395
gene_33688	0	0	0
gene_33689	23	75	157
gene_33690	59	184	243
gene_33691	6	23	23
gene_33695	150	284	607
gene_33696	0	1	3
gene_33698	1	3	5
gene_33699	44	89	127
gene_33700	1990	3963	8582
gene_33701	76	179	342
gene_33702	129	229	492
gene_33703	1	2	0
gene_33704	325	525	1032
gene_33705	1178	1678	3937
gene_33706	13	18	43
gene_33707	1751	3079	6897
gene_33708	5339	8279	18917
gene_33709	164	207	552
gene_33710	2989	3449	8936
gene_33711	7	14	39
gene_33712	9	20	29
gene_33713	44	80	140
gene_33715	5	16	15
gene_33716	6	16	15
gene_33717	1	1	3
gene_33718	2881	4301	9183
gene_33719	544	521	1234
gene_33720	563	939	1838
gene_33721	83	137	220
gene_33722	408	442	1186
gene_33723	445	478	1273
gene_33724	438	762	2042
gene_33725	1043	1528	3735
gene_33727	33	43	149
gene_33728	718	1065	2740
gene_33729	379	594	1488
gene_33731	3	0	2
gene_33732	53	63	152
gene_33733	845	1114	2599
gene_33734	1169	2273	5276
gene_33735	1075	1353	3185
gene_33736	1844	2529	6183
gene_33737	73	147	439
gene_33738	180	319	753
gene_33739	68	127	249
gene_33740	4047	5519	14436
gene_33741	629	848	2220
gene_33743	574	978	2311
gene_33744	11	22	33
gene_33745	31	101	204
gene_33746	3883	4829	10777
gene_33747	346	571	1271
gene_33748	641	1017	2657
gene_33749	61	105	266
gene_33751	318	481	1333
gene_33752	202	285	818
gene_33753	61	87	234
gene_33754	411	538	1439
gene_33755	153	176	494
gene_33756	846	1044	2939
gene_33758	2108	3113	7110
gene_33759	26	33	78
gene_33760	14890	521	1180
gene_33761	1089	1289	3491
gene_33762	163	250	528
gene_33763	0	0	0
gene_33765	290	375	884
gene_33766	1	0	0
gene_33767	0	0	6
gene_33768	4	21	24
gene_33769	0	0	2
gene_33770	0	0	1
gene_33771	7	22	56
gene_33772	0	2	1
gene_33773	13	77	110
gene_33774	0	4	1
gene_33776	0	0	0
gene_33779	1670	2529	5687
gene_33780	3	8	5
gene_33781	33	32	117
gene_33782	0	0	1
gene_33787	7059	10292	24895
gene_33788	501	903	1858
gene_33789	0	0	0
gene_33791	0	0	1
gene_33792	0	0	0
gene_33793	0	0	0
gene_33794	1271	2130	4589
gene_33795	3167	4323	10710
gene_33796	178	185	582
gene_33797	306	496	1096
gene_33798	8584	12764	31310
gene_33799	2061	2822	7347
gene_33800	1981	2481	5933
gene_33801	5139	7164	18791
gene_33802	3	10	39
gene_33803	14	28	62
gene_33804	558	544	1816
gene_33805	1176	1782	4190
gene_33806	3602	4765	11146
gene_33807	467	616	1556
gene_33808	2	1	5
gene_33809	668	855	2088
gene_33810	179	236	553
gene_33811	6	17	25
gene_33812	1	2	5
gene_33813	776	1273	2549
gene_33814	20	35	87
gene_33815	31	32	85
gene_33816	50	53	189
gene_33817	204	254	673
gene_33818	155	320	679
gene_33819	2654	4222	9683
gene_33820	1101	1558	3900
gene_33821	0	1	3
gene_33822	0	0	1
gene_33823	2	4	8
gene_33824	93353	637	1641
gene_33826	0	0	0
gene_33827	3035	4946	11648
gene_33828	9584	11840	34721
gene_33829	17	19	64
gene_33830	3629	4989	11080
gene_33838	13	8	32
gene_33839	0	1	3
gene_33840	1403	1756	4107
gene_33841	80	92	238
gene_33843	278	248	866
gene_33844	261	425	848
gene_33845	0	0	0
gene_33846	4	14	27
gene_33847	22	32	33
gene_33849	2	2	9
gene_33850	17	31	60
gene_33851	61	81	170
gene_33852	165	336	720
gene_33853	31	45	99
gene_33854	12930	11788	24916
gene_33855	967	1256	2735
gene_33856	1374	1741	4294
gene_33857	68	72	181
gene_33858	160	138	510
gene_33859	369	442	1189
gene_33860	2559	3113	7721
gene_33861	284	388	969
gene_33862	103	210	428
gene_33863	582	1221	2488
gene_33864	1055	1240	3516
gene_33865	23	25	23
gene_33866	20068	26263	67755
gene_33867	22	36	74
gene_33868	1487	1888	5057
gene_33869	342	594	1463
gene_33870	23	50	113
gene_33871	2	0	0
gene_33872	382	622	1413
gene_33873	109	24	44
gene_33874	2	11	14
gene_33876	35	93	119
gene_33877	0	0	0
gene_33878	701	1104	2265
gene_33879	0	0	4
gene_33880	1	1	17
gene_33881	246	224	384
gene_33882	1007	1958	5203
gene_33883	0	0	0
gene_33884	3118	4799	11492
gene_33885	149	229	545
gene_33886	0	0	0
gene_33887	6	6	42
gene_33888	1724	2068	5070
gene_33889	5	2	14
gene_33890	28356	49911	92893
gene_33891	1370	2163	4997
gene_33892	93247	2871	7377
gene_33893	1	2	11
gene_33894	3	4	8
gene_33895	0	0	0
gene_33899	0	0	5
gene_33901	0	4	2
gene_33902	1	12	7
gene_33904	4	18	20
gene_33905	0	0	4
gene_33907	2272	3017	6860
gene_33908	37	51	119
gene_33909	22	25	65
gene_33910	185	217	678
gene_33911	0	4	0
gene_33912	1014	1499	3587
gene_33913	2	2	8
gene_33914	4	4	6
gene_33915	73	80	184
gene_33916	657	836	1693
gene_33917	12	10	18
gene_33918	1	2	8
gene_33919	1	0	1
gene_33922	0	0	0
gene_33923	6	12	18
gene_33924	1231	1560	4007
gene_33925	1236	1163	3239
gene_33926	179	142	486
gene_33927	42	80	132
gene_33928	338	459	882
gene_33929	68017	84629	216084
gene_33930	28798	34649	92755
gene_33931	2432	3496	8289
gene_33932	54	58	116
gene_33933	830	1059	2502
gene_33934	309	497	1138
gene_33935	1606	2173	5546
gene_33936	23	16	69
gene_33937	684	1129	2995
gene_33938	3354	4161	11430
gene_33939	1254	1662	4048
gene_33940	509	731	1720
gene_33941	5664	6625	15736
gene_33942	31	23	72
gene_33943	6	3	14
gene_33944	3	8	9
gene_33946	2270	3360	8135
gene_33947	94	34	184
gene_33948	0	1	4
gene_33949	1672	2456	5697
gene_33950	378	597	1382
gene_33951	2164	3387	7957
gene_33952	103	145	379
gene_33953	348	560	1220
gene_33954	1085	1572	3728
gene_33955	2049	2628	6779
gene_33956	1250	2074	4553
gene_33957	5383	278	592
gene_33958	2279	3310	7270
gene_33959	294	346	858
gene_33960	927	1265	2792
gene_33962	785	1430	2507
gene_33963	458	736	1459
gene_33964	22	39	61
gene_33965	1	1	3
gene_33967	0	0	9
gene_33969	20055	22661	63843
gene_33970	1064	1678	3376
gene_33971	91	144	345
gene_33972	12163	1298	3543
gene_33973	8	20	25
gene_33974	0	0	1
gene_33975	1270	1608	3972
gene_33976	175	217	541
gene_33977	14	6	30
gene_33978	1	0	6
gene_33979	312	319	1216
gene_33980	4853	6385	17702
gene_33981	781	1164	2877
gene_33982	5	1	7
gene_33983	504	539	1508
gene_33984	5	9	21
gene_33985	6	4	34
gene_33988	0	2	5
gene_33990	27	38	98
gene_33991	0	0	0
gene_33992	1	1	6
gene_33993	2	1	3
gene_33995	57	212	346
gene_33996	4	7	36
gene_33997	0	0	2
gene_33998	1	8	18
gene_34000	0	2	13
gene_34001	2	6	9
gene_34002	613	874	1863
gene_34003	2271	3158	6895
gene_34004	0	0	0
gene_34005	2	0	7
gene_34006	22	38	34
gene_34007	44	50	122
gene_34008	27	23	60
gene_34009	31	0	6
gene_34010	2871	3428	7272
gene_34011	407	590	1070
gene_34012	2056	3557	7991
gene_34013	205	208	530
gene_34014	62	59	172
gene_34016	2	4	9
gene_34017	17	1	1
gene_34018	280	321	949
gene_34019	0	0	0
gene_34022	2	3	9
gene_34026	4	12	56
gene_34027	560	1255	2595
gene_34028	26	54	118
gene_34029	924	1482	3087
gene_34030	3537	4749	11926
gene_34031	31508	2655	6429
gene_34032	2	8	14
gene_34033	9	14	21
gene_34037	0	1	3
