gene	KO	Rescue	WT
gene_1487	11	33	26
gene_1488	0	0	0
gene_1489	2	4	0
gene_1490	0	0	0
gene_1492	10	16	34
gene_1493	441	1148	1867
gene_1494	3	10	13
gene_1495	553	244	359
gene_1497	3725	258	618
gene_1498	59	99	184
gene_1500	11	10	27
gene_1501	493	1013	1779
gene_1502	0	0	1
gene_1503	420	852	1428
gene_1505	3	5	22
gene_1510	0	3	1
gene_1513	0	0	1
gene_1514	687	1811	2798
gene_1516	152	276	452
gene_1517	68	300	512
gene_1519	33	37	77
gene_1520	5	8	22
gene_1521	78	221	461
gene_1522	0	0	0
gene_1524	86	196	281
gene_1525	161	386	683
gene_1526	60	57	127
gene_1527	172	687	985
gene_1528	14259	25189	58670
gene_1529	44	146	163
gene_1531	230	550	953
gene_1532	893	2745	4813
gene_1533	221	522	979
gene_1534	64	149	247
gene_1535	1043	2300	4490
gene_1536	1269	3094	6122
gene_1537	394	1028	2225
gene_1538	119	239	442
gene_1539	93	7	14
gene_1540	740	1679	3230
gene_1541	377	871	1608
gene_1542	1	0	5
gene_1544	624	2198	3771
gene_1545	0	5	0
